sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403546.7655635,200.0,1.5707963268088523,2.6232828409522568e-11
1748403546.785138,200.0,1.5707963268093763,2.6232838817863424e-11
1748403546.8053355,200.0,1.5707963268099003,2.623283187896952e-11
1748403546.8254135,200.0,1.5707963268104244,2.6232824940075616e-11
1748403546.8452857,200.0,1.5707963268109484,2.6232835348416472e-11
1748403546.8656225,200.0,1.5707963268114724,2.6232838817863424e-11
1748403546.8853533,200.0,1.5707963268119964,2.6232828409522568e-11
1748403546.905381,200.0,1.5707963268125205,2.6232835348416472e-11
1748403546.9255292,200.0,1.5707963268130445,2.623284922620428e-11
1748403546.9454553,200.0,1.5707963268135685,2.6232835348416472e-11
1748403546.9652567,200.0,1.5707963268140925,2.6232842287310376e-11
1748403546.9853542,200.0,1.5707963268146166,2.6232818001181712e-11
1748403547.0054326,200.0,1.5707963268151406,2.623283187896952e-11
1748403547.0253391,200.0,1.5707963268156646,2.623283187896952e-11
1748403547.045055,200.0,1.5707963268161886,2.6232828409522568e-11
1748403547.0655384,200.0,1.5707963268167127,2.623283187896952e-11
1748403547.0854595,200.0,1.5707963268172367,2.6232835348416472e-11
1748403547.1051977,200.0,1.5707963268177607,2.623283187896952e-11
1748403547.1254008,200.0,1.5707963268182847,2.6232835348416472e-11
1748403547.1454659,200.0,1.5707963268188088,2.6232845756757328e-11
1748403547.1654391,200.0,1.5707963268193328,2.6232856165098184e-11
1748403547.1852992,200.0,1.5707963268198568,2.6232842287310376e-11
1748403547.2055578,200.0,1.5707963268203808,2.6232828409522568e-11
1748403547.2258115,200.0,1.5707963268209049,2.6232828409522568e-11
1748403547.2453744,200.0,1.5707963268209049,2.6232828409522568e-11
1748403547.2653673,200.0,1.570796326821429,2.6232828409522568e-11
1748403547.2854936,200.0,1.570796326821953,2.6232821470628664e-11
1748403547.3055766,200.0,1.570796326822477,2.6232824940075616e-11
1748403547.325393,200.0,1.570796326823001,2.6232842287310376e-11
1748403547.3453743,200.0,1.570796326823525,2.6232842287310376e-11
1748403547.3654754,200.0,1.570796326824049,2.6232838817863424e-11
1748403547.385513,200.0,1.570796326824573,2.6232821470628664e-11
1748403547.4057503,200.0,1.570796326825097,2.6232838817863424e-11
1748403547.425315,200.0,1.570796326825621,2.6232818001181712e-11
1748403547.4452732,200.0,1.5707963268261451,2.623283187896952e-11
